SSA,STATE,COUNTY,FIPS
5540,CA,Santa Cruz County,6087
5550,CA,Shasta County,6089
5560,CA,Sierra County,6091
5570,CA,Siskiyou County,6093
5580,CA,Solano County,6095
5590,CA,Sonoma County,6097
5600,CA,Stanislaus County,6099
5610,CA,Sutter County,6101
5620,CA,Tehama County,6103
5630,CA,Trinity County,6105
5640,CA,Tulare County,6107
5650,CA,Tuolumne County,6109
5660,CA,Ventura County,6111
5670,CA,Yolo County,6113
5680,CA,Yuba County,6115
6000,CO,Adams County,8001
6010,CO,Alamosa County,8003
6020,CO,Arapahoe County,8005
6030,CO,Archuleta County,8007
6040,CO,Baca County,8009
6050,CO,Bent County,8011
6060,CO,Boulder County,8013
6630,CO,Broomfield County,8014
6070,CO,Chaffee County,8015
6080,CO,Cheyenne County,8017
6090,CO,Clear Creek County,8019
6100,CO,Conejos County,8021
6110,CO,Costilla County,8023
6120,CO,Crowley County,8025
6130,CO,Custer County,8027
6140,CO,Delta County,8029
6150,CO,Denver County,8031
6160,CO,Dolores County,8033
6170,CO,Douglas County,8035
6180,CO,Eagle County,8037
6190,CO,Elbert County,8039
6200,CO,El Paso County,8041
6210,CO,Fremont County,8043
6220,CO,Garfield County,8045
6230,CO,Gilpin County,8047
6240,CO,Grand County,8049
6250,CO,Gunnison County,8051
6260,CO,Hinsdale County,8053
6270,CO,Huerfano County,8055
6280,CO,Jackson County,8057
6290,CO,Jefferson County,8059
6300,CO,Kiowa County,8061
6310,CO,Kit Carson County,8063
6320,CO,Lake County,8065
6330,CO,La Plata County,8067
6340,CO,Larimer County,8069
6350,CO,Las Animas County,8071
6360,CO,Lincoln County,8073
6370,CO,Logan County,8075
6380,CO,Mesa County,8077
6390,CO,Mineral County,8079
6400,CO,Moffat County,8081
6410,CO,Montezuma County,8083
6420,CO,Montrose County,8085
6430,CO,Morgan County,8087
6440,CO,Otero County,8089
6450,CO,Ouray County,8091
6460,CO,Park County,8093
6470,CO,Phillips County,8095
6480,CO,Pitkin County,8097
6490,CO,Prowers County,8099
6500,CO,Pueblo County,8101
6510,CO,Rio Blanco County,8103
6520,CO,Rio Grande County,8105
6530,CO,Routt County,8107
6540,CO,Saguache County,8109
6550,CO,San Juan County,8111
6560,CO,San Miguel County,8113
6570,CO,Sedgwick County,8115
6580,CO,Summit County,8117
6590,CO,Teller County,8119
6600,CO,Washington County,8121
6610,CO,Weld County,8123
6620,CO,Yuma County,8125
7000,CT,Fairfield County,9001
7010,CT,Hartford County,9003
7020,CT,Litchfield County,9005
7030,CT,Middlesex County,9007
7040,CT,New Haven County,9009
7050,CT,New London County,9011
7060,CT,Tolland County,9013
7070,CT,Windham County,9015
8000,DE,Kent County,10001
8010,DE,New Castle County,10003
8020,DE,Sussex County,10005
9000,DC,District of Columbia,11001
10000,FL,Alachua County,12001
10010,FL,Baker County,12003
10020,FL,Bay County,12005
10030,FL,Bradford County,12007
10040,FL,Brevard County,12009
10050,FL,Broward County,12011
10060,FL,Calhoun County,12013
10070,FL,Charlotte County,12015
10080,FL,Citrus County,12017
10090,FL,Clay County,12019
10100,FL,Collier County,12021
10110,FL,Columbia County,12023
10120,FL,Miami-Dade County,12025
10130,FL,DeSoto County,12027
10140,FL,Dixie County,12029
10150,FL,Duval County,12031
10160,FL,Escambia County,12033
10170,FL,Flagler County,12035
10180,FL,Franklin County,12037
10190,FL,Gadsden County,12039
10200,FL,Gilchrist County,12041
10210,FL,Glades County,12043
10220,FL,Gulf County,12045
10230,FL,Hamilton County,12047
10240,FL,Hardee County,12049
10250,FL,Hendry County,12051
10260,FL,Hernando County,12053
10270,FL,Highlands County,12055
10280,FL,Hillsborough County,12057
10290,FL,Holmes County,12059
10300,FL,Indian River County,12061
10310,FL,Jackson County,12063
10320,FL,Jefferson County,12065
10330,FL,Lafayette County,12067
10340,FL,Lake County,12069
10350,FL,Lee County,12071
10360,FL,Leon County,12073
10370,FL,Levy County,12075
10380,FL,Liberty County,12077
10390,FL,Madison County,12079
10400,FL,Manatee County,12081
10410,FL,Marion County,12083
10420,FL,Martin County,12085
10120,FL,Miami-Dade County,12086
10430,FL,Monroe County,12087
10440,FL,Nassau County,12089
10450,FL,Okaloosa County,12091
10460,FL,Okeechobee County,12093
10470,FL,Orange County,12095
10480,FL,Osceola County,12097
10490,FL,Palm Beach County,12099
10500,FL,Pasco County,12101
10510,FL,Pinellas County,12103
10520,FL,Polk County,12105
10530,FL,Putnam County,12107
10540,FL,St. Johns County,12109
10550,FL,St. Lucie County,12111
10560,FL,Santa Rosa County,12113
10570,FL,Sarasota County,12115
10580,FL,Seminole County,12117
10590,FL,Sumter County,12119
10600,FL,Suwannee County,12121
10610,FL,Taylor County,12123
10620,FL,Union County,12125
10630,FL,Volusia County,12127
10640,FL,Wakulla County,12129
10650,FL,Walton County,12131
10660,FL,Washington County,12133
11000,GA,Appling County,13001
11010,GA,Atkinson County,13003
11011,GA,Bacon County,13005
11020,GA,Baker County,13007
11030,GA,Baldwin County,13009
11040,GA,Banks County,13011
11050,GA,Barrow County,13013
11060,GA,Bartow County,13015
11070,GA,Ben Hill County,13017
11080,GA,Berrien County,13019
11090,GA,Bibb County,13021
11100,GA,Bleckley County,13023
11110,GA,Brantley County,13025
11120,GA,Brooks County,13027
11130,GA,Bryan County,13029
11140,GA,Bulloch County,13031
11150,GA,Burke County,13033
11160,GA,Butts County,13035
11161,GA,Calhoun County,13037
11170,GA,Camden County,13039
11180,GA,Candler County,13043
11190,GA,Carroll County,13045
11200,GA,Catoosa County,13047
11210,GA,Charlton County,13049
11220,GA,Chatham County,13051
11230,GA,Chattahoochee County,13053
11240,GA,Chattooga County,13055
11250,GA,Cherokee County,13057
11260,GA,Clarke County,13059
11270,GA,Clay County,13061
11280,GA,Clayton County,13063
11281,GA,Clinch County,13065
11290,GA,Cobb County,13067
11291,GA,Coffee County,13069
11300,GA,Colquitt County,13071
11310,GA,Columbia County,13073
11311,GA,Cook County,13075
11320,GA,Coweta County,13077
11330,GA,Crawford County,13079
11340,GA,Crisp County,13081
11341,GA,Dade County,13083
11350,GA,Dawson County,13085
11360,GA,Decatur County,13087
11370,GA,DeKalb County,13089
11380,GA,Dodge County,13091
11381,GA,Dooly County,13093
11390,GA,Dougherty County,13095
11400,GA,Douglas County,13097
11410,GA,Early County,13099
11420,GA,Echols County,13101
11421,GA,Effingham County,13103
11430,GA,Elbert County,13105
11440,GA,Emanuel County,13107
11441,GA,Evans County,13109
11450,GA,Fannin County,13111
11451,GA,Fayette County,13113
11460,GA,Floyd County,13115
11461,GA,Forsyth County,13117
11462,GA,Franklin County,13119
11470,GA,Fulton County,13121
11471,GA,Gilmer County,13123
11480,GA,Glascock County,13125
11490,GA,Glynn County,13127
11500,GA,Gordon County,13129
11510,GA,Grady County,13131
11520,GA,Greene County,13133
11530,GA,Gwinnett County,13135
11540,GA,Habersham County,13137
11550,GA,Hall County,13139
11560,GA,Hancock County,13141
11570,GA,Haralson County,13143
11580,GA,Harris County,13145
11581,GA,Hart County,13147
11590,GA,Heard County,13149
11591,GA,Henry County,13151
11600,GA,Houston County,13153
11601,GA,Irwin County,13155
11610,GA,Jackson County,13157
11611,GA,Jasper County,13159
11612,GA,Jeff Davis County,13161
11620,GA,Jefferson County,13163
11630,GA,Jenkins County,13165
11640,GA,Johnson County,13167
11650,GA,Jones County,13169
11651,GA,Lamar County,13171
11652,GA,Lanier County,13173
11660,GA,Laurens County,13175
11670,GA,Lee County,13177
11680,GA,Liberty County,13179
11690,GA,Lincoln County,13181
11691,GA,Long County,13183
11700,GA,Lowndes County,13185
11701,GA,Lumpkin County,13187
11702,GA,McDuffie County,13189
11703,GA,McIntosh County,13191
11710,GA,Macon County,13193
11720,GA,Madison County,13195
11730,GA,Marion County,13197
11740,GA,Meriwether County,13199
11741,GA,Miller County,13201
11750,GA,Mitchell County,13205
11760,GA,Monroe County,13207
11770,GA,Montgomery County,13209
11771,GA,Morgan County,13211
11772,GA,Murray County,13213
11780,GA,Muscogee County,13215
11790,GA,Newton County,13217
11800,GA,Oconee County,13219
11801,GA,Oglethorpe County,13221
11810,GA,Paulding County,13223
11811,GA,Peach County,13225
11812,GA,Pickens County,13227
11820,GA,Pierce County,13229
11821,GA,Pike County,13231
11830,GA,Polk County,13233
11831,GA,Pulaski County,13235
11832,GA,Putnam County,13237
11833,GA,Quitman County,13239
11834,GA,Rabun County,13241
11835,GA,Randolph County,13243
11840,GA,Richmond County,13245
11841,GA,Rockdale County,13247
11842,GA,Schley County,13249
11850,GA,Screven County,13251
11851,GA,Seminole County,13253
11860,GA,Spalding County,13255
11861,GA,Stephens County,13257
11862,GA,Stewart County,13259
11870,GA,Sumter County,13261
11880,GA,Talbot County,13263
11881,GA,Taliaferro County,13265
11882,GA,Tattnall County,13267
11883,GA,Taylor County,13269
11884,GA,Telfair County,13271
11885,GA,Terrell County,13273
11890,GA,Thomas County,13275
11900,GA,Tift County,13277
11901,GA,Toombs County,13279
11902,GA,Towns County,13281
11903,GA,Treutlen County,13283
11910,GA,Troup County,13285
11911,GA,Turner County,13287
11912,GA,Twiggs County,13289
11913,GA,Union County,13291
11920,GA,Upson County,13293
11921,GA,Walker County,13295
11930,GA,Walton County,13297
11940,GA,Ware County,13299
11941,GA,Warren County,13301
11950,GA,Washington County,13303
11960,GA,Wayne County,13305
11961,GA,Webster County,13307
11962,GA,Wheeler County,13309
11963,GA,White County,13311
11970,GA,Whitfield County,13313
11971,GA,Wilcox County,13315
11972,GA,Wilkes County,13317
11973,GA,Wilkinson County,13319
11980,GA,Worth County,13321
12010,HI,Hawaii County,15001
12020,HI,Honolulu County,15003
12005,HI,Kalawao County,15005
12040,HI,Kauai County,15007
12050,HI,Maui County,15009
13000,ID,Ada County,16001
13010,ID,Adams County,16003
13020,ID,Bannock County,16005
13030,ID,Bear Lake County,16007
13040,ID,Benewah County,16009
13050,ID,Bingham County,16011
13060,ID,Blaine County,16013
13070,ID,Boise County,16015
13080,ID,Bonner County,16017
13090,ID,Bonneville County,16019
13100,ID,Boundary County,16021
13110,ID,Butte County,16023
13120,ID,Camas County,16025
13130,ID,Canyon County,16027
13140,ID,Caribou County,16029
13150,ID,Cassia County,16031
13160,ID,Clark County,16033
13170,ID,Clearwater County,16035
13180,ID,Custer County,16037
13190,ID,Elmore County,16039
13200,ID,Franklin County,16041
13210,ID,Fremont County,16043
13220,ID,Gem County,16045
13230,ID,Gooding County,16047
13240,ID,Idaho County,16049
13250,ID,Jefferson County,16051
13260,ID,Jerome County,16053
13270,ID,Kootenai County,16055
13280,ID,Latah County,16057
13290,ID,Lemhi County,16059
13300,ID,Lewis County,16061
13310,ID,Lincoln County,16063
13320,ID,Madison County,16065
13330,ID,Minidoka County,16067
13340,ID,Nez Perce County,16069
13350,ID,Oneida County,16071
13360,ID,Owyhee County,16073
13370,ID,Payette County,16075
13380,ID,Power County,16077
13390,ID,Shoshone County,16079
13400,ID,Teton County,16081
13410,ID,Twin Falls County,16083
13420,ID,Valley County,16085
13430,ID,Washington County,16087
14000,IL,Adams County,17001
14010,IL,Alexander County,17003
14020,IL,Bond County,17005
14030,IL,Boone County,17007
14040,IL,Brown County,17009
14050,IL,Bureau County,17011
14060,IL,Calhoun County,17013
14070,IL,Carroll County,17015
14080,IL,Cass County,17017
14090,IL,Champaign County,17019
14100,IL,Christian County,17021
14110,IL,Clark County,17023
14120,IL,Clay County,17025
14130,IL,Clinton County,17027
14140,IL,Coles County,17029
14141,IL,Cook County,17031
14150,IL,Crawford County,17033
14160,IL,Cumberland County,17035
14170,IL,DeKalb County,17037
14180,IL,De Witt County,17039
14190,IL,Douglas County,17041
14250,IL,DuPage County,17043
14310,IL,Edgar County,17045
14320,IL,Edwards County,17047
14330,IL,Effingham County,17049
14340,IL,Fayette County,17051
14350,IL,Ford County,17053
14360,IL,Franklin County,17055
14370,IL,Fulton County,17057
14380,IL,Gallatin County,17059
14390,IL,Greene County,17061
14400,IL,Grundy County,17063
14410,IL,Hamilton County,17065
14420,IL,Hancock County,17067
14421,IL,Hardin County,17069
14440,IL,Henderson County,17071
14450,IL,Henry County,17073
14460,IL,Iroquois County,17075
14470,IL,Jackson County,17077
14480,IL,Jasper County,17079
14490,IL,Jefferson County,17081
14500,IL,Jersey County,17083
14510,IL,Jo Daviess County,17085
14520,IL,Johnson County,17087
14530,IL,Kane County,17089
14540,IL,Kankakee County,17091
14550,IL,Kendall County,17093
14560,IL,Knox County,17095
14570,IL,Lake County,17097
14580,IL,LaSalle County,17099
14590,IL,Lawrence County,17101
14600,IL,Lee County,17103
14610,IL,Livingston County,17105
14620,IL,Logan County,17107
14630,IL,McDonough County,17109
14640,IL,McHenry County,17111
14650,IL,McLean County,17113
14660,IL,Macon County,17115
14670,IL,Macoupin County,17117
14680,IL,Madison County,17119
14690,IL,Marion County,17121
14700,IL,Marshall County,17123
14710,IL,Mason County,17125
14720,IL,Massac County,17127
14730,IL,Menard County,17129
14740,IL,Mercer County,17131
14750,IL,Monroe County,17133
14760,IL,Montgomery County,17135
14770,IL,Morgan County,17137
14780,IL,Moultrie County,17139
14790,IL,Ogle County,17141
14800,IL,Peoria County,17143
14810,IL,Perry County,17145
14820,IL,Piatt County,17147
14830,IL,Pike County,17149
14831,IL,Pope County,17151
14850,IL,Pulaski County,17153
14860,IL,Putnam County,17155
14870,IL,Randolph County,17157
14880,IL,Richland County,17159
14890,IL,Rock Island County,17161
14900,IL,St. Clair County,17163
14910,IL,Saline County,17165
14920,IL,Sangamon County,17167
14921,IL,Schuyler County,17169
14940,IL,Scott County,17171
14950,IL,Shelby County,17173
14960,IL,Stark County,17175
14970,IL,Stephenson County,17177
14980,IL,Tazewell County,17179
14981,IL,Union County,17181
14982,IL,Vermilion County,17183
14983,IL,Wabash County,17185
14984,IL,Warren County,17187
14985,IL,Washington County,17189
14986,IL,Wayne County,17191
14987,IL,White County,17193
14988,IL,Whiteside County,17195
14989,IL,Will County,17197
14990,IL,Williamson County,17199
14991,IL,Winnebago County,17201
14992,IL,Woodford County,17203
15000,IN,Adams County,18001
15010,IN,Allen County,18003
15020,IN,Bartholomew County,18005
15030,IN,Benton County,18007
15040,IN,Blackford County,18009
15050,IN,Boone County,18011
15060,IN,Brown County,18013
15070,IN,Carroll County,18015
15080,IN,Cass County,18017
15090,IN,Clark County,18019
15100,IN,Clay County,18021
15110,IN,Clinton County,18023
15120,IN,Crawford County,18025
15130,IN,Daviess County,18027
15140,IN,Dearborn County,18029
15150,IN,Decatur County,18031
15160,IN,DeKalb County,18033
15170,IN,Delaware County,18035
15180,IN,Dubois County,18037
15190,IN,Elkhart County,18039
15200,IN,Fayette County,18041
15210,IN,Floyd County,18043
15220,IN,Fountain County,18045
15230,IN,Franklin County,18047
15240,IN,Fulton County,18049
15250,IN,Gibson County,18051
15260,IN,Grant County,18053
15270,IN,Greene County,18055
15280,IN,Hamilton County,18057
15290,IN,Hancock County,18059
15300,IN,Harrison County,18061
15310,IN,Hendricks County,18063
15320,IN,Henry County,18065
15330,IN,Howard County,18067
15340,IN,Huntington County,18069
15350,IN,Jackson County,18071
15360,IN,Jasper County,18073
15370,IN,Jay County,18075
15380,IN,Jefferson County,18077
15390,IN,Jennings County,18079
15400,IN,Johnson County,18081
15410,IN,Knox County,18083
15420,IN,Kosciusko County,18085
15430,IN,LaGrange County,18087
15440,IN,Lake County,18089
15450,IN,LaPorte County,18091
15460,IN,Lawrence County,18093
15470,IN,Madison County,18095
15480,IN,Marion County,18097
15490,IN,Marshall County,18099
15500,IN,Martin County,18101
15510,IN,Miami County,18103
15520,IN,Monroe County,18105
15530,IN,Montgomery County,18107
15540,IN,Morgan County,18109
15550,IN,Newton County,18111
15560,IN,Noble County,18113
15570,IN,Ohio County,18115
15580,IN,Orange County,18117
15590,IN,Owen County,18119
15600,IN,Parke County,18121
15610,IN,Perry County,18123
15620,IN,Pike County,18125
15630,IN,Porter County,18127
15640,IN,Posey County,18129
15650,IN,Pulaski County,18131
15660,IN,Putnam County,18133
15670,IN,Randolph County,18135
15680,IN,Ripley County,18137
15690,IN,Rush County,18139
15700,IN,St. Joseph County,18141
15710,IN,Scott County,18143
15720,IN,Shelby County,18145
15730,IN,Spencer County,18147
15740,IN,Starke County,18149
15750,IN,Steuben County,18151
15760,IN,Sullivan County,18153
15770,IN,Switzerland County,18155
15780,IN,Tippecanoe County,18157
15790,IN,Tipton County,18159
15800,IN,Union County,18161
15810,IN,Vanderburgh County,18163
15820,IN,Vermillion County,18165
15830,IN,Vigo County,18167
15840,IN,Wabash County,18169
15850,IN,Warren County,18171
15860,IN,Warrick County,18173
15870,IN,Washington County,18175
15880,IN,Wayne County,18177
15890,IN,Wells County,18179
15900,IN,White County,18181
15910,IN,Whitley County,18183
16000,IA,Adair County,19001
16010,IA,Adams County,19003
16020,IA,Allamakee County,19005
16030,IA,Appanoose County,19007
16040,IA,Audubon County,19009
16050,IA,Benton County,19011
16060,IA,Black Hawk County,19013
16070,IA,Boone County,19015
16080,IA,Bremer County,19017
16090,IA,Buchanan County,19019
16100,IA,Buena Vista County,19021
16110,IA,Butler County,19023
16120,IA,Calhoun County,19025
16130,IA,Carroll County,19027
16140,IA,Cass County,19029
16150,IA,Cedar County,19031
16160,IA,Cerro Gordo County,19033
16170,IA,Cherokee County,19035
16180,IA,Chickasaw County,19037
16190,IA,Clarke County,19039
16200,IA,Clay County,19041
16210,IA,Clayton County,19043
16220,IA,Clinton County,19045
16230,IA,Crawford County,19047
16240,IA,Dallas County,19049
16250,IA,Davis County,19051
16260,IA,Decatur County,19053
16270,IA,Delaware County,19055
16280,IA,Des Moines County,19057
16290,IA,Dickinson County,19059
16300,IA,Dubuque County,19061
16310,IA,Emmet County,19063
16320,IA,Fayette County,19065
16330,IA,Floyd County,19067
16340,IA,Franklin County,19069
16350,IA,Fremont County,19071
16360,IA,Greene County,19073
16370,IA,Grundy County,19075
16380,IA,Guthrie County,19077
16390,IA,Hamilton County,19079
16400,IA,Hancock County,19081
16410,IA,Hardin County,19083
16420,IA,Harrison County,19085
16430,IA,Henry County,19087
16440,IA,Howard County,19089
16450,IA,Humboldt County,19091
16460,IA,Ida County,19093
16470,IA,Iowa County,19095
16480,IA,Jackson County,19097
16490,IA,Jasper County,19099
16500,IA,Jefferson County,19101
16510,IA,Johnson County,19103
16520,IA,Jones County,19105
16530,IA,Keokuk County,19107
16540,IA,Kossuth County,19109
16550,IA,Lee County,19111
16560,IA,Linn County,19113
16570,IA,Louisa County,19115
16580,IA,Lucas County,19117
16590,IA,Lyon County,19119
16600,IA,Madison County,19121
16610,IA,Mahaska County,19123
16620,IA,Marion County,19125
16630,IA,Marshall County,19127
16640,IA,Mills County,19129
16650,IA,Mitchell County,19131
16660,IA,Monona County,19133
16670,IA,Monroe County,19135
16680,IA,Montgomery County,19137
16690,IA,Muscatine County,19139
16700,IA,O'Brien County,19141
16710,IA,Osceola County,19143
16720,IA,Page County,19145
16730,IA,Palo Alto County,19147
16740,IA,Plymouth County,19149
16750,IA,Pocahontas County,19151
16760,IA,Polk County,19153
16770,IA,Pottawattamie County,19155
16780,IA,Poweshiek County,19157
16790,IA,Ringgold County,19159
16800,IA,Sac County,19161
16810,IA,Scott County,19163
16820,IA,Shelby County,19165
16830,IA,Sioux County,19167
16840,IA,Story County,19169
16850,IA,Tama County,19171
16860,IA,Taylor County,19173
16870,IA,Union County,19175
16880,IA,Van Buren County,19177
16890,IA,Wapello County,19179
16900,IA,Warren County,19181
16910,IA,Washington County,19183
16920,IA,Wayne County,19185
16930,IA,Webster County,19187
16940,IA,Winnebago County,19189
16950,IA,Winneshiek County,19191
16960,IA,Woodbury County,19193
16970,IA,Worth County,19195
16980,IA,Wright County,19197
17000,KS,Allen County,20001
17010,KS,Anderson County,20003
17020,KS,Atchison County,20005
17030,KS,Barber County,20007
17040,KS,Barton County,20009
17050,KS,Bourbon County,20011
17060,KS,Brown County,20013
17070,KS,Butler County,20015
17080,KS,Chase County,20017
17090,KS,Chautauqua County,20019
17100,KS,Cherokee County,20021
17110,KS,Cheyenne County,20023
17120,KS,Clark County,20025
17130,KS,Clay County,20027
17140,KS,Cloud County,20029
17150,KS,Coffey County,20031
17160,KS,Comanche County,20033
17170,KS,Cowley County,20035
17180,KS,Crawford County,20037
17190,KS,Decatur County,20039
17200,KS,Dickinson County,20041
17210,KS,Doniphan County,20043
17220,KS,Douglas County,20045
17230,KS,Edwards County,20047
17240,KS,Elk County,20049
17250,KS,Ellis County,20051
17260,KS,Ellsworth County,20053
17270,KS,Finney County,20055
17280,KS,Ford County,20057
17290,KS,Franklin County,20059
17300,KS,Geary County,20061
17310,KS,Gove County,20063
17320,KS,Graham County,20065
17330,KS,Grant County,20067
17340,KS,Gray County,20069
