state_code_match,state_name_match,state_code,county_name,county_code,ssa
,,3,MARICOPA,60,3060
,,3,MOHAVE,70,3070
,,3,NAVAJO,80,3080
,,3,PIMA,90,3090
,,3,PINAL,100,3100
,,3,SANTA CRUZ,110,3110
,,3,YAVAPAI,120,3120
,,3,YUMA,130,3130
,,3,STATEWIDE,999,3999
,,4,ARKANSAS,0,4000
,,4,ASHLEY,10,4010
,,4,BAXTER,20,4020
,,4,BENTON,30,4030
,,4,BOONE,40,4040
,,4,BRADLEY,50,4050
,,4,CALHOUN,60,4060
,,4,CARROLL,70,4070
,,4,CHICOT,80,4080
,,4,CLARK,90,4090
,,4,CLAY,100,4100
,,4,CLEBURNE,110,4110
,,4,CLEVELAND,120,4120
,,4,COLUMBIA,130,4130
,,4,CONWAY,140,4140
,,4,CRAIGHEAD,150,4150
,,4,CRAWFORD,160,4160
,,4,CRITTENDEN,170,4170
,,4,CROSS,180,4180
,,4,DALLAS,190,4190
,,4,DESHA,200,4200
,,4,DREW,210,4210
,,4,FAULKNER,220,4220
,,4,FRANKLIN,230,4230
,,4,FULTON,240,4240
,,4,GARLAND,250,4250
,,4,GRANT,260,4260
,,4,GREENE,270,4270
,,4,HEMPSTEAD,280,4280
,,4,HOT SPRING,290,4290
,,4,HOWARD,300,4300
,,4,INDEPENDENCE,310,4310
,,4,IZARD,320,4320
,,4,JACKSON,330,4330
,,4,JEFFERSON,340,4340
,,4,JOHNSON,350,4350
,,4,LAFAYETTE,360,4360
,,4,LAWRENCE,370,4370
,,4,LEE,380,4380
,,4,LINCOLN,390,4390
,,4,LITTLE RIVER,400,4400
,,4,LOGAN,410,4410
,,4,LONOKE,420,4420
,,4,MADISON,430,4430
,,4,MARION,440,4440
,,4,MILLER,450,4450
,,4,MISSISSIPPI,460,4460
,,4,MONROE,470,4470
,,4,MONTGOMERY,480,4480
,,4,NEVADA,490,4490
,,4,NEWTON,500,4500
,,4,OUACHITA,510,4510
,,4,PERRY,520,4520
,,4,PHILLIPS,530,4530
,,4,PIKE,540,4540
,,4,POINSETT,550,4550
,,4,POLK,560,4560
,,4,POPE,570,4570
,,4,PRAIRIE,580,4580
,,4,PULASKI,590,4590
,,4,RANDOLPH,600,4600
,,4,ST. FRANCIS,610,4610
,,4,SALINE,620,4620
,,4,SCOTT,630,4630
,,4,SEARCY,640,4640
,,4,SEBASTIAN,650,4650
,,4,SEVIER,660,4660
,,4,SHARP,670,4670
,,4,STONE,680,4680
,,4,UNION,690,4690
,,4,VAN BUREN,700,4700
,,4,WASHINGTON,710,4710
,,4,WHITE,720,4720
,,4,WOODRUFF,730,4730
,,4,YELL,740,4740
,,4,STATEWIDE,999,4999
,,5,ALAMEDA,0,5000
,,5,ALPINE,10,5010
,,5,AMADOR,20,5020
,,5,BUTTE,30,5030
,,5,CALAVERAS,40,5040
,,5,COLUSA,50,5050
,,5,CONTRA COSTA,60,5060
,,5,DEL NORTE,70,5070
,,5,EL DORADO,80,5080
,,5,FRESNO,90,5090
,,5,GLENN,100,5100
,,5,HUMBOLDT,110,5110
,,5,IMPERIAL,120,5120
,,5,INYO,130,5130
,,5,KERN,140,5140
,,5,KINGS,150,5150
,,5,LAKE,160,5160
,,5,LASSEN,170,5170
,,5,LOS ANGELES,200,5200
,,5,LOS ANGELES,210,5210
,,5,MADERA,300,5300
,,5,MARIN,310,5310
,,5,MARIPOSA,320,5320
,,5,MENDOCINO,330,5330
,,5,MERCED,340,5340
,,5,MODOC,350,5350
,,5,MONO,360,5360
,,5,MONTEREY,370,5370
,,5,NAPA,380,5380
,,5,NEVADA,390,5390
,,5,ORANGE,400,5400
,,5,PLACER,410,5410
,,5,PLUMAS,420,5420
,,5,RIVERSIDE,430,5430
,,5,SACRAMENTO,440,5440
,,5,SAN BENITO,450,5450
,,5,SAN BERNARDINO,460,5460
,,5,SAN DIEGO,470,5470
,,5,SAN FRANCISCO,480,5480
,,5,SAN JOAQUIN,490,5490
,,5,SAN LUIS OBISPO,500,5500
,,5,SAN MATEO,510,5510
,,5,SANTA BARBARA,520,5520
,,5,SANTA CLARA,530,5530
,,5,SANTA CRUZ,540,5540
,,5,SHASTA,550,5550
,,5,SIERRA,560,5560
,,5,SISKIYOU,570,5570
,,5,SOLANO,580,5580
,,5,SONOMA,590,5590
,,5,STANISLAUS,600,5600
,,5,SUTTER,610,5610
,,5,TEHAMA,620,5620
,,5,TRINITY,630,5630
,,5,TULARE,640,5640
,,5,TUOLUMNE,650,5650
,,5,VENTURA,660,5660
,,5,YOLO,670,5670
,,5,YUBA,680,5680
,,5,STATEWIDE,999,5999
,,6,ADAMS,0,6000
,,6,ALAMOSA,10,6010
,,6,BROOMFIELD,630,6630
,,6,ARAPAHOE,20,6020
,,6,ARCHULETA,30,6030
,,6,BACA,40,6040
,,6,BENT,50,6050
,,6,BOULDER,60,6060
,,6,CHAFFEE,70,6070
,,6,CHEYENNE,80,6080
,,6,CLEAR CREEK,90,6090
,,6,CONEJOS,100,6100
,,6,COSTILLA,110,6110
,,6,CROWLEY,120,6120
,,6,CUSTER,130,6130
,,6,DELTA,140,6140
,,6,DENVER,150,6150
,,6,DOLORES,160,6160
,,6,DOUGLAS,170,6170
,,6,EAGLE,180,6180
,,6,ELBERT,190,6190
,,6,EL PASO,200,6200
,,6,FREMONT,210,6210
,,6,GARFIELD,220,6220
,,6,GILPIN,230,6230
,,6,GRAND,240,6240
,,6,GUNNISON,250,6250
,,6,HINSDALE,260,6260
,,6,HUERFANO,270,6270
,,6,JACKSON,280,6280
,,6,JEFFERSON,290,6290
,,6,KIOWA,300,6300
,,6,KIT CARSON,310,6310
,,6,LAKE,320,6320
,,6,LA PLATA,330,6330
,,6,LARIMER,340,6340
,,6,LAS ANIMAS,350,6350
,,6,LINCOLN,360,6360
,,6,LOGAN,370,6370
,,6,MESA,380,6380
,,6,MINERAL,390,6390
,,6,MOFFAT,400,6400
,,6,MONTEZUMA,410,6410
,,6,MONTROSE,420,6420
,,6,MORGAN,430,6430
,,6,OTERO,440,6440
,,6,OURAY,450,6450
,,6,PARK,460,6460
,,6,PHILLIPS,470,6470
,,6,PITKIN,480,6480
,,6,PROWERS,490,6490
,,6,PUEBLO,500,6500
,,6,RIO BLANCO,510,6510
,,6,RIO GRANDE,520,6520
,,6,ROUTT,530,6530
,,6,SAGUACHE,540,6540
,,6,SAN JUAN,550,6550
,,6,SAN MIGUEL,560,6560
,,6,SEDGWICK,570,6570
,,6,SUMMIT,580,6580
,,6,TELLER,590,6590
,,6,WASHINGTON,600,6600
,,6,WELD,610,6610
,,6,YUMA,620,6620
,,6,STATEWIDE,999,6999
,,7,FAIRFIELD,0,7000
,,7,HARTFORD,10,7010
,,7,LITCHFIELD,20,7020
,,7,MIDDLESEX,30,7030
,,7,NEW HAVEN,40,7040
,,7,NEW LONDON,50,7050
,,7,TOLLAND,60,7060
,,7,WINDHAM,70,7070
,,7,STATEWIDE,999,7999
,,8,KENT,0,8000
,,8,NEW CASTLE,10,8010
,,8,SUSSEX,20,8020
,,8,STATEWIDE,999,8999
,,9,THE DISTRICT,0,9000
,,10,ALACHUA,0,10000
,,10,BAKER,10,10010
,,10,BAY,20,10020
,,10,BRADFORD,30,10030
,,10,BREVARD,40,10040
,,10,BROWARD,50,10050
,,10,CALHOUN,60,10060
,,10,CHARLOTTE,70,10070
,,10,CITRUS,80,10080
,,10,CLAY,90,10090
,,10,COLLIER,100,10100
,,10,COLUMBIA,110,10110
,,10,DADE,120,10120
,,10,DE SOTO,130,10130
,,10,DIXIE,140,10140
,,10,DUVAL,150,10150
,,10,ESCAMBIA,160,10160
,,10,FLAGLER,170,10170
,,10,FRANKLIN,180,10180
,,10,GADSDEN,190,10190
,,10,GILCHRIST,200,10200
,,10,GLADES,210,10210
,,10,GULF,220,10220
,,10,HAMILTON,230,10230
,,10,HARDEE,240,10240
,,10,HENDRY,250,10250
,,10,HERNANDO,260,10260
,,10,HIGHLANDS,270,10270
,,10,HILLSBOROUGH,280,10280
,,10,HOLMES,290,10290
,,10,INDIAN RIVER,300,10300
,,10,JACKSON,310,10310
,,10,JEFFERSON,320,10320
,,10,LAFAYETTE,330,10330
,,10,LAKE,340,10340
,,10,LEE,350,10350
,,10,LEON,360,10360
,,10,LEVY,370,10370
,,10,LIBERTY,380,10380
,,10,MADISON,390,10390
,,10,MANATEE,400,10400
,,10,MARION,410,10410
,,10,MARTIN,420,10420
,,10,MIAMI-DADE,120,10120
,,10,MONROE,430,10430
,,10,NASSAU,440,10440
,,10,OKALOOSA,450,10450
,,10,OKEECHOBEE,460,10460
,,10,ORANGE,470,10470
,,10,OSCEOLA,480,10480
,,10,PALM BEACH,490,10490
,,10,PASCO,500,10500
,,10,PINELLAS,510,10510
,,10,POLK,520,10520
,,10,PUTNAM,530,10530
,,10,ST. JOHNS,540,10540
,,10,ST. LUCIE,550,10550
,,10,SANTA ROSA,560,10560
,,10,SARASOTA,570,10570
,,10,SEMINOLE,580,10580
,,10,SUMTER,590,10590
,,10,SUWANNEE,600,10600
,,10,TAYLOR,610,10610
,,10,UNION,620,10620
,,10,VOLUSIA,630,10630
,,10,WAKULLA,640,10640
,,10,WALTON,650,10650
,,10,WASHINGTON,660,10660
,,10,STATEWIDE,999,10999
,,11,APPLING,0,11000
,,11,ATKINSON,10,11010
,,11,BACON,11,11011
,,11,BAKER,20,11020
,,11,BALDWIN,30,11030
,,11,BANKS,40,11040
,,11,BARROW,50,11050
,,11,BARTOW,60,11060
,,11,BEN HILL,70,11070
,,11,BERRIEN,80,11080
,,11,BIBB,90,11090
,,11,BLECKLEY,100,11100
,,11,BRANTLEY,110,11110
,,11,BROOKS,120,11120
,,11,BRYAN,130,11130
,,11,BULLOCH,140,11140
,,11,BURKE,150,11150
,,11,BUTTS,160,11160
,,11,CALHOUN,161,11161
,,11,CAMDEN,170,11170
,,11,CANDLER,180,11180
,,11,CARROLL,190,11190
,,11,CATOOSA,200,11200
,,11,CHARLTON,210,11210
,,11,CHATHAM,220,11220
,,11,CHATTAHOOCHEE,230,11230
,,11,CHATTOOGA,240,11240
,,11,CHEROKEE,250,11250
,,11,CLARKE,260,11260
,,11,CLAY,270,11270
,,11,CLAYTON,280,11280
,,11,CLINCH,281,11281
,,11,COBB,290,11290
,,11,COFFEE,291,11291
,,11,COLQUITT,300,11300
,,11,COLUMBIA,310,11310
,,11,COOK,311,11311
,,11,COWETA,320,11320
,,11,CRAWFORD,330,11330
,,11,CRISP,340,11340
,,11,DADE,341,11341
,,11,DAWSON,350,11350
,,11,DECATUR,360,11360
,,11,DE KALB,370,11370
,,11,DODGE,380,11380
,,11,DOOLY,381,11381
,,11,DOUGHERTY,390,11390
,,11,DOUGLAS,400,11400
,,11,EARLY,410,11410
,,11,ECHOLS,420,11420
,,11,EFFINGHAM,421,11421
,,11,ELBERT,430,11430
,,11,EMANUEL,440,11440
,,11,EVANS,441,11441
,,11,FANNIN,450,11450
,,11,FAYETTE,451,11451
,,11,FLOYD,460,11460
,,11,FORSYTH,461,11461
,,11,FRANKLIN,462,11462
,,11,FULTON,470,11470
,,11,GILMER,471,11471
,,11,GLASCOCK,480,11480
,,11,GLYNN,490,11490
,,11,GORDON,500,11500
,,11,GRADY,510,11510
,,11,GREENE,520,11520
,,11,GWINNETT,530,11530
,,11,HABERSHAM,540,11540
,,11,HALL,550,11550
,,11,HANCOCK,560,11560
,,11,HARALSON,570,11570
,,11,HARRIS,580,11580
,,11,HART,581,11581
,,11,HEARD,590,11590
,,11,HENRY,591,11591
,,11,HOUSTON,600,11600
,,11,IRWIN,601,11601
,,11,JACKSON,610,11610
,,11,JASPER,611,11611
,,11,JEFF DAVIS,612,11612
,,11,JEFFERSON,620,11620
,,11,JENKINS,630,11630
,,11,JOHNSON,640,11640
,,11,JONES,650,11650
,,11,LAMAR,651,11651
,,11,LANIER,652,11652
,,11,LAURENS,660,11660
,,11,LEE,670,11670
,,11,LIBERTY,680,11680
,,11,LINCOLN,690,11690
,,11,LONG,691,11691
,,11,LOWNDES,700,11700
,,11,LUMPKIN,701,11701
,,11,MC DUFFIE,702,11702
,,11,MC INTOSH,703,11703
,,11,MACON,710,11710
,,11,MADISON,720,11720
,,11,MARION,730,11730
,,11,MERIWETHER,740,11740
,,11,MILLER,741,11741
,,11,MITCHELL,750,11750
,,11,MONROE,760,11760
,,11,MONTGOMERY,770,11770
,,11,MORGAN,771,11771
,,11,MURRAY,772,11772
,,11,MUSCOGEE,780,11780
,,11,NEWTON,790,11790
,,11,OCONEE,800,11800
,,11,OGLETHORPE,801,11801
,,11,PAULDING,810,11810
,,11,PEACH,811,11811
,,11,PICKENS,812,11812
,,11,PIERCE,820,11820
,,11,PIKE,821,11821
,,11,POLK,830,11830
,,11,PULASKI,831,11831
,,11,PUTNAM,832,11832
,,11,QUITMAN,833,11833
,,11,RABUN,834,11834
,,11,RANDOLPH,835,11835
,,11,RICHMOND,840,11840
,,11,ROCKDALE,841,11841
,,11,SCHLEY,842,11842
,,11,SCREVEN,850,11850
,,11,SEMINOLE,851,11851
,,11,SPALDING,860,11860
,,11,STEPHENS,861,11861
,,11,STEWART,862,11862
,,11,SUMTER,870,11870
,,11,TALBOT,880,11880
,,11,TALIAFERRO,881,11881
,,11,TATTNALL,882,11882
,,11,TAYLOR,883,11883
,,11,TELFAIR,884,11884
,,11,TERRELL,885,11885
,,11,THOMAS,890,11890
,,11,TIFT,900,11900
,,11,TOOMBS,901,11901
,,11,TOWNS,902,11902
,,11,TREUTLEN,903,11903
,,11,TROUP,910,11910
,,11,TURNER,911,11911
,,11,TWIGGS,912,11912
,,11,UNION,913,11913
,,11,UPSON,920,11920
,,11,WALKER,921,11921
,,11,WALTON,930,11930
,,11,WARE,940,11940
,,11,WARREN,941,11941
,,11,WASHINGTON,950,11950
,,11,WAYNE,960,11960
,,11,WEBSTER,961,11961
,,11,WHEELER,962,11962
,,11,WHITE,963,11963
,,11,WHITFIELD,970,11970
,,11,WILCOX,971,11971
,,11,WILKES,972,11972
,,11,WILKINSON,973,11973
,,11,WORTH,980,11980
,,11,STATEWIDE,999,11999
,,12,HAWAII,10,12010
,,12,HONOLULU,20,12020
,,12,KALAWAO,5,12005
,,12,KAUAI,40,12040
,,12,MAUI,50,12050
,,12,STATEWIDE,999,12999
,,13,ADA,0,13000
,,13,ADAMS,10,13010
,,13,BANNOCK,20,13020
,,13,BEAR LAKE,30,13030
,,13,BENEWAH,40,13040
,,13,BINGHAM,50,13050
,,13,BLAINE,60,13060
,,13,BOISE,70,13070
,,13,BONNER,80,13080
,,13,BONNEVILLE,90,13090
,,13,BOUNDARY,100,13100
,,13,BUTTE,110,13110
,,13,CAMAS,120,13120
,,13,CANYON,130,13130
,,13,CARIBOU,140,13140
,,13,CASSIA,150,13150
,,13,CLARK,160,13160
,,13,CLEARWATER,170,13170
,,13,CUSTER,180,13180
,,13,ELMORE,190,13190
,,13,FRANKLIN,200,13200
,,13,FREMONT,210,13210
,,13,GEM,220,13220
,,13,GOODING,230,13230
,,13,IDAHO,240,13240
,,13,JEFFERSON,250,13250
,,13,JEROME,260,13260
,,13,KOOTENAI,270,13270
,,13,LATAH,280,13280
,,13,LEMHI,290,13290
,,13,LEWIS,300,13300
,,13,LINCOLN,310,13310
,,13,MADISON,320,13320
,,13,MINIDOKA,330,13330
,,13,NEZ PERCE,340,13340
,,13,ONEIDA,350,13350
,,13,OWYHEE,360,13360
,,13,PAYETTE,370,13370
,,13,POWER,380,13380
,,13,SHOSHONE,390,13390
,,13,TETON,400,13400
,,13,TWIN FALLS,410,13410
,,13,VALLEY,420,13420
,,13,WASHINGTON,430,13430
,,13,STATEWIDE,999,13999
,,14,ADAMS,0,14000
,,14,ALEXANDER,10,14010
,,14,BOND,20,14020
,,14,BOONE,30,14030
,,14,BROWN,40,14040
,,14,BUREAU,50,14050
,,14,CALHOUN,60,14060
,,14,CARROLL,70,14070
,,14,CASS,80,14080
,,14,CHAMPAIGN,90,14090
,,14,CHRISTIAN,100,14100
,,14,CLARK,110,14110
,,14,CLAY,120,14120
,,14,CLINTON,130,14130
,,14,COLES,140,14140
,,14,COOK,141,14141
,,14,CRAWFORD,150,14150
,,14,CUMBERLAND,160,14160
,,14,DE KALB,170,14170
,,14,DE WITT,180,14180
,,14,DOUGLAS,190,14190
,,14,DU PAGE,250,14250
,,14,EDGAR,310,14310
,,14,EDWARDS,320,14320
,,14,EFFINGHAM,330,14330
,,14,FAYETTE,340,14340
,,14,FORD,350,14350
,,14,FRANKLIN,360,14360
,,14,FULTON,370,14370
,,14,GALLATIN,380,14380
,,14,GREENE,390,14390
,,14,GRUNDY,400,14400
,,14,HAMILTON,410,14410
,,14,HANCOCK,420,14420
,,14,HARDIN,421,14421
,,14,HENDERSON,440,14440
,,14,HENRY,450,14450
,,14,IROQUOIS,460,14460
,,14,JACKSON,470,14470
,,14,JASPER,480,14480
,,14,JEFFERSON,490,14490
,,14,JERSEY,500,14500
,,14,JO DAVIESS,510,14510
,,14,JOHNSON,520,14520
,,14,KANE,530,14530
,,14,KANKAKEE,540,14540
,,14,KENDALL,550,14550
,,14,KNOX,560,14560
,,14,LAKE,570,14570
,,14,LA SALLE,580,14580
,,14,LAWRENCE,590,14590
,,14,LEE,600,14600
,,14,LIVINGSTON,610,14610
,,14,LOGAN,620,14620
,,14,MC DONOUGH,630,14630
,,14,MC HENRY,640,14640
,,14,MC LEAN,650,14650
,,14,MACON,660,14660
,,14,MACOUPIN,670,14670
,,14,MADISON,680,14680
,,14,MARION,690,14690
,,14,MARSHALL,700,14700
,,14,MASON,710,14710
,,14,MASSAC,720,14720
,,14,MENARD,730,14730
,,14,MERCER,740,14740
,,14,MONROE,750,14750
,,14,MONTGOMERY,760,14760
,,14,MORGAN,770,14770
,,14,MOULTRIE,780,14780
,,14,OGLE,790,14790
,,14,PEORIA,800,14800
,,14,PERRY,810,14810
,,14,PIATT,820,14820
,,14,PIKE,830,14830
,,14,POPE,831,14831
,,14,PULASKI,850,14850
,,14,PUTNAM,860,14860
,,14,RANDOLPH,870,14870
,,14,RICHLAND,880,14880
,,14,ROCK ISLAND,890,14890
,,14,ST. CLAIR,900,14900
,,14,SALINE,910,14910
,,14,SANGAMON,920,14920
,,14,SCHUYLER,921,14921
,,14,SCOTT,940,14940
,,14,SHELBY,950,14950
,,14,STARK,960,14960
,,14,STEPHENSON,970,14970
,,14,TAZEWELL,980,14980
,,14,UNION,981,14981
,,14,VERMILION,982,14982
,,14,WABASH,983,14983
,,14,WARREN,984,14984
,,14,WASHINGTON,985,14985
,,14,WAYNE,986,14986
,,14,WHITE,987,14987
,,14,WHITESIDE,988,14988
,,14,WILL,989,14989
,,14,WILLIAMSON,990,14990
,,14,WINNEBAGO,991,14991
,,14,WOODFORD,992,14992
,,14,STATEWIDE,999,14999
,,15,ADAMS,0,15000
,,15,ALLEN,10,15010
,,15,BARTHOLOMEW,20,15020
,,15,BENTON,30,15030
,,15,BLACKFORD,40,15040
,,15,BOONE,50,15050
,,15,BROWN,60,15060
,,15,CARROLL,70,15070
,,15,CASS,80,15080
,,15,CLARK,90,15090
,,15,CLAY,100,15100
,,15,CLINTON,110,15110
,,15,CRAWFORD,120,15120
,,15,DAVIESS,130,15130
,,15,DEARBORN,140,15140
,,15,DECATUR,150,15150
,,15,DE KALB,160,15160
,,15,DELAWARE,170,15170
,,15,DUBOIS,180,15180
,,15,ELKHART,190,15190
,,15,FAYETTE,200,15200
,,15,FLOYD,210,15210
,,15,FOUNTAIN,220,15220
,,15,FRANKLIN,230,15230
,,15,FULTON,240,15240
,,15,GIBSON,250,15250
,,15,GRANT,260,15260
,,15,GREENE,270,15270
,,15,HAMILTON,280,15280
,,15,HANCOCK,290,15290
,,15,HARRISON,300,15300
,,15,HENDRICKS,310,15310
,,15,HENRY,320,15320
,,15,HOWARD,330,15330
,,15,HUNTINGTON,340,15340
,,15,JACKSON,350,15350
,,15,JASPER,360,15360
,,15,JAY,370,15370
,,15,JEFFERSON,380,15380
,,15,JENNINGS,390,15390
,,15,JOHNSON,400,15400
,,15,KNOX,410,15410
,,15,KOSCIUSKO,420,15420
,,15,LAGRANGE,430,15430
,,15,LAKE,440,15440
,,15,LA PORTE,450,15450
,,15,LAWRENCE,460,15460
,,15,MADISON,470,15470
,,15,MARION,480,15480
,,15,MARSHALL,490,15490
,,15,MARTIN,500,15500
,,15,MIAMI,510,15510
,,15,MONROE,520,15520
,,15,MONTGOMERY,530,15530
,,15,MORGAN,540,15540
,,15,NEWTON,550,15550
,,15,NOBLE,560,15560
,,15,OHIO,570,15570
,,15,ORANGE,580,15580
,,15,OWEN,590,15590
,,15,PARKE,600,15600
,,15,PERRY,610,15610
,,15,PIKE,620,15620
,,15,PORTER,630,15630
,,15,POSEY,640,15640
,,15,PULASKI,650,15650
,,15,PUTNAM,660,15660
,,15,RANDOLPH,670,15670
,,15,RIPLEY,680,15680
,,15,RUSH,690,15690
,,15,ST. JOSEPH,700,15700
,,15,SCOTT,710,15710
,,15,SHELBY,720,15720
,,15,SPENCER,730,15730
,,15,STARKE,740,15740
,,15,STEUBEN,750,15750
,,15,SULLIVAN,760,15760
,,15,SWITZERLAND,770,15770
,,15,TIPPECANOE,780,15780
,,15,TIPTON,790,15790
,,15,UNION,800,15800
,,15,VANDERBURGH,810,15810
,,15,VERMILLION,820,15820
,,15,VIGO,830,15830
,,15,WABASH,840,15840
,,15,WARREN,850,15850
,,15,WARRICK,860,15860
,,15,WASHINGTON,870,15870
,,15,WAYNE,880,15880
,,15,WELLS,890,15890
,,15,WHITE,900,15900
,,15,WHITLEY,910,15910
,,15,STATEWIDE,999,15999
,,16,ADAIR,0,16000
,,16,ADAMS,10,16010
,,16,ALLAMAKEE,20,16020
,,16,APPANOOSE,30,16030
,,16,AUDUBON,40,16040
,,16,BENTON,50,16050
,,16,BLACK HAWK,60,16060
,,16,BOONE,70,16070
,,16,BREMER,80,16080
,,16,BUCHANAN,90,16090
,,16,BUENA VISTA,100,16100
,,16,BUTLER,110,16110
,,16,CALHOUN,120,16120
,,16,CARROLL,130,16130
,,16,CASS,140,16140
,,16,CEDAR,150,16150
,,16,CERRO GORDO,160,16160
,,16,CHEROKEE,170,16170
,,16,CHICKASAW,180,16180
,,16,CLARKE,190,16190
,,16,CLAY,200,16200
,,16,CLAYTON,210,16210
,,16,CLINTON,220,16220
,,16,CRAWFORD,230,16230
,,16,DALLAS,240,16240
,,16,DAVIS,250,16250
,,16,DECATUR,260,16260
,,16,DELAWARE,270,16270
,,16,DES MOINES,280,16280
,,16,DICKINSON,290,16290
,,16,DUBUQUE,300,16300
,,16,EMMET,310,16310
,,16,FAYETTE,320,16320
,,16,FLOYD,330,16330
,,16,FRANKLIN,340,16340
,,16,FREMONT,350,16350
,,16,GREENE,360,16360
,,16,GRUNDY,370,16370
,,16,GUTHRIE,380,16380
,,16,HAMILTON,390,16390
,,16,HANCOCK,400,16400
,,16,HARDIN,410,16410
,,16,HARRISON,420,16420
,,16,HENRY,430,16430
,,16,HOWARD,440,16440
,,16,HUMBOLDT,450,16450
,,16,IDA,460,16460
,,16,IOWA,470,16470
,,16,JACKSON,480,16480
,,16,JASPER,490,16490
,,16,JEFFERSON,500,16500
,,16,JOHNSON,510,16510
,,16,JONES,520,16520
,,16,KEOKUK,530,16530
